Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,15:41:59.648,0,0,0,1,0,0
10/9/2023,15:42:00.679,1200,248136,0,1,1164,0
10/9/2023,15:42:01.739,1253,268361,0,1,1182,0
10/9/2023,15:42:02.670,1112,235122,0,1,1196,0
10/9/2023,15:42:03.670,1325,270724,0,1,1324,0
10/9/2023,15:42:04.670,1038,213067,0,1,1038,0
10/9/2023,15:42:05.662,1394,282750,0,1,1405,0
10/9/2023,15:42:06.713,1114,234731,0,1,1060,0
10/9/2023,15:42:07.743,1283,270815,0,1,1246,0
10/9/2023,15:42:08.677,1117,234986,0,1,1196,0
10/9/2023,15:42:09.679,1170,247054,0,1,1169,0
10/9/2023,15:42:10.688,1307,267746,0,1,1294,0
10/9/2023,15:42:11.655,1192,258444,0,1,1234,0
10/9/2023,15:42:12.661,1181,245283,0,1,1173,0
10/9/2023,15:42:13.697,1228,253559,0,1,1185,0
10/9/2023,15:42:14.654,1326,283658,0,1,1386,0
10/9/2023,15:42:15.664,1145,234965,0,1,1134,0
10/9/2023,15:42:16.767,1248,263419,0,1,1132,0
10/9/2023,15:42:17.741,1210,255008,0,1,1241,0
10/9/2023,15:42:18.736,1198,245944,0,1,1204,0
10/9/2023,15:42:19.700,1144,238295,0,1,1187,0
10/9/2023,15:42:20.773,1316,269623,0,1,1226,0
10/9/2023,15:42:21.696,1230,256814,0,1,1333,0
10/9/2023,15:42:22.695,1100,237711,0,1,1101,0
10/9/2023,15:42:23.753,1256,261119,0,1,1187,0
10/9/2023,15:42:24.696,1201,246586,0,1,1274,0
10/9/2023,15:42:25.717,1215,255701,0,1,1191,0
10/9/2023,15:42:26.680,1274,259965,0,1,1322,0
10/9/2023,15:42:27.741,1182,252844,0,1,1114,0
10/9/2023,15:42:28.673,1150,243889,0,1,1234,0
10/9/2023,15:42:29.674,1301,273657,0,1,1301,0
10/9/2023,15:42:30.700,1235,257229,0,1,1204,0
10/9/2023,15:42:31.718,1135,235034,0,1,1114,0
10/9/2023,15:42:32.746,1279,267285,0,1,1244,0
10/9/2023,15:42:33.714,1162,240826,0,1,1200,0
10/9/2023,15:42:34.710,1234,258553,0,1,1239,0
10/9/2023,15:42:35.691,1184,239727,0,1,1207,0
10/9/2023,15:42:36.677,1261,269005,0,1,1280,0
10/9/2023,15:42:37.735,1176,243541,0,1,1110,0
10/9/2023,15:42:38.805,1211,252360,0,1,1132,0
10/9/2023,15:42:39.726,1259,257434,0,1,1367,0
10/9/2023,15:42:40.727,1133,231410,0,1,1132,0
10/9/2023,15:42:41.757,1287,269377,0,1,1250,0
10/9/2023,15:42:42.768,1230,251005,0,1,1217,0
10/9/2023,15:42:43.709,1200,247025,0,1,1275,0
10/9/2023,15:42:44.691,1128,233014,0,1,1149,0
10/9/2023,15:42:45.778,1275,269922,0,1,1173,0
10/9/2023,15:42:46.727,1220,253188,0,1,1286,0
10/9/2023,15:42:47.680,1204,252866,0,1,1263,0
10/9/2023,15:42:48.719,1250,263511,0,1,1203,0
10/9/2023,15:42:49.687,1224,251836,0,1,1264,0
10/9/2023,15:42:50.665,1092,235715,0,1,1118,0
10/9/2023,15:42:51.679,1227,250811,0,1,1209,0
10/9/2023,15:42:52.664,1321,280365,0,1,1341,0
10/9/2023,15:42:53.672,1205,253582,0,1,1195,0
10/9/2023,15:42:54.681,1154,243712,0,1,1144,0
10/9/2023,15:42:55.669,1126,235177,0,1,1141,0
10/9/2023,15:42:56.681,1400,294290,0,1,1382,0
10/9/2023,15:42:57.670,1155,238725,0,1,1168,0
10/9/2023,15:42:58.671,1181,241685,0,1,1180,0
10/9/2023,15:42:59.789,1272,270151,0,1,1138,0
10/9/2023,15:43:00.677,1227,258344,0,1,1382,0
10/9/2023,15:43:01.741,1209,259920,0,1,1136,0
10/9/2023,15:43:02.695,1140,231178,0,1,1195,0
10/9/2023,15:43:03.695,1272,266253,0,1,1272,0
10/9/2023,15:43:04.762,1175,248056,0,1,1102,0
10/9/2023,15:43:05.661,1208,255048,0,1,1342,0
10/9/2023,15:43:06.707,1226,254688,0,1,1173,0
10/9/2023,15:43:07.707,1190,251042,0,1,1189,0
10/9/2023,15:43:08.753,1247,264092,0,1,1192,0
10/9/2023,15:43:09.673,1013,214319,0,1,1101,0
10/9/2023,15:43:10.668,1321,265089,0,1,1328,0
10/9/2023,15:43:11.712,1277,268720,0,1,1223,0
10/9/2023,15:43:12.695,1236,252882,0,1,1257,0
10/9/2023,15:43:13.722,1157,243311,0,1,1127,0
10/9/2023,15:43:14.676,1264,268365,0,1,1326,0
10/9/2023,15:43:15.667,1144,243895,0,1,1153,0
10/9/2023,15:43:16.682,1140,239997,0,1,1123,0
10/9/2023,15:43:17.785,1266,260995,0,1,1148,0
10/9/2023,15:43:18.686,1262,274294,0,1,1402,0
10/9/2023,15:43:19.687,1153,238448,0,1,1151,0
10/9/2023,15:43:20.688,1134,238973,0,1,1133,0
10/9/2023,15:43:21.701,1364,282365,0,1,1346,0
10/9/2023,15:43:22.703,1182,255455,0,1,1180,0
10/9/2023,15:43:23.705,1227,247369,0,1,1226,0
10/9/2023,15:43:24.767,1271,263754,0,1,1196,0
10/9/2023,15:43:25.666,1182,242509,0,1,1315,0
10/9/2023,15:43:26.699,1158,242870,0,1,1122,0
10/9/2023,15:43:27.699,1214,258498,0,1,1214,0
10/9/2023,15:43:28.748,1215,254997,0,1,1158,0
10/9/2023,15:43:29.778,1300,274284,0,1,1261,0
10/9/2023,15:43:30.700,1119,232092,0,1,1215,0
10/9/2023,15:43:31.713,1215,246216,0,1,1199,0
10/9/2023,15:43:32.699,1249,261794,0,1,1265,0
10/9/2023,15:43:33.675,1082,227827,0,1,1110,0
10/9/2023,15:43:34.673,1233,256151,0,1,1234,0
10/9/2023,15:43:35.702,1246,268912,0,1,1212,0
10/9/2023,15:43:36.732,1187,254167,0,1,1151,0
10/9/2023,15:43:37.697,1180,253855,0,1,1224,0
10/9/2023,15:43:38.709,1141,251419,0,1,1127,0
10/9/2023,15:43:39.722,1330,288184,0,1,1312,0
10/9/2023,15:43:40.700,1124,238452,0,1,1150,0
10/9/2023,15:43:41.684,1244,253510,0,1,1263,0
10/9/2023,15:43:42.685,1264,259243,0,1,1263,0
10/9/2023,15:43:43.682,1223,254751,0,1,1228,0
10/9/2023,15:43:44.708,1176,244706,0,1,1146,0
10/9/2023,15:43:45.692,1227,252578,0,1,1246,0
10/9/2023,15:43:46.685,1173,245526,0,1,1182,0
10/9/2023,15:43:47.699,1237,258231,0,1,1219,0
10/9/2023,15:43:48.705,1223,255098,0,1,1217,0
10/9/2023,15:43:49.721,1124,238272,0,1,1106,0
10/9/2023,15:43:50.765,1372,292210,0,1,1313,0
10/9/2023,15:43:51.746,1222,251339,0,1,1246,0
10/9/2023,15:43:52.672,1225,255062,0,1,1323,0
10/9/2023,15:43:53.746,1129,236320,0,1,1051,0
10/9/2023,15:43:54.686,1250,267701,0,1,1330,0
10/9/2023,15:43:55.686,1253,258214,0,1,1253,0
10/9/2023,15:43:56.679,1162,231074,0,1,1170,0
10/9/2023,15:43:57.694,1250,255960,0,1,1232,0
10/9/2023,15:43:58.701,1192,248389,0,1,1184,0
10/9/2023,15:43:59.678,1197,251439,0,1,1225,0
10/9/2023,15:44:00.693,1121,234994,0,1,1104,0
10/9/2023,15:44:01.771,1311,260344,0,1,1216,0
10/9/2023,15:44:02.766,1184,242599,0,1,1191,0
10/9/2023,15:44:03.704,1148,230167,0,1,1224,0
10/9/2023,15:44:04.727,1234,259826,0,1,1205,0
10/9/2023,15:44:05.723,1283,266544,0,1,1288,0
10/9/2023,15:44:06.750,1186,242053,0,1,1155,0
10/9/2023,15:44:07.719,1164,251726,0,1,1201,0
10/9/2023,15:44:08.711,1300,273552,0,1,1310,0
10/9/2023,15:44:09.697,1190,244875,0,1,1207,0
10/9/2023,15:44:10.731,1133,242699,0,1,1096,0
10/9/2023,15:44:11.713,1227,250898,0,1,1249,0
10/9/2023,15:44:12.688,1194,243143,0,1,1226,0
10/9/2023,15:44:13.725,1262,260533,0,1,1216,0
10/9/2023,15:44:14.685,1237,267545,0,1,1289,0
10/9/2023,15:44:15.760,1218,257207,0,1,1133,0
10/9/2023,15:44:16.735,1165,245240,0,1,1195,0
10/9/2023,15:44:17.693,1254,271355,0,1,1309,0
10/9/2023,15:44:18.773,1147,245300,0,1,1062,0
10/9/2023,15:44:19.688,1144,238786,0,1,1250,0
10/9/2023,15:44:20.691,1229,254736,0,1,1225,0
10/9/2023,15:44:21.714,1303,263297,0,1,1274,0
10/9/2023,15:44:22.698,1159,239628,0,1,1178,0
10/9/2023,15:44:23.692,1156,238457,0,1,1163,0
10/9/2023,15:44:24.688,1335,278243,0,1,1340,0
10/9/2023,15:44:25.750,1214,256896,0,1,1143,0
10/9/2023,15:44:26.758,1215,264140,0,1,1205,0
10/9/2023,15:44:27.728,1248,248812,0,1,1287,0
10/9/2023,15:44:28.691,1179,251491,0,1,1224,0
10/9/2023,15:44:29.798,1301,278575,0,1,1175,0
10/9/2023,15:44:30.770,1147,241803,0,1,1180,0
10/9/2023,15:44:31.736,1201,249872,0,1,1243,0
10/9/2023,15:44:32.738,1183,254573,0,1,1181,0
10/9/2023,15:44:33.702,1276,269913,0,1,1324,0
10/9/2023,15:44:34.754,1190,241627,0,1,1132,0
10/9/2023,15:44:35.688,1228,251236,0,1,1313,0
10/9/2023,15:44:36.687,1094,224771,0,1,1096,0
10/9/2023,15:44:37.721,1345,286128,0,1,1300,0
10/9/2023,15:44:38.689,1110,233692,0,1,1147,0
10/9/2023,15:44:39.719,1275,263954,0,1,1238,0
10/9/2023,15:44:40.693,1294,265006,0,1,1329,0
10/9/2023,15:44:41.732,1161,243913,0,1,1118,0
10/9/2023,15:44:42.719,1153,237362,0,1,1167,0
10/9/2023,15:44:43.777,1254,259525,0,1,1185,0
10/9/2023,15:44:44.715,1247,260107,0,1,1329,0
10/9/2023,15:44:45.742,1118,235234,0,1,1089,0
10/9/2023,15:44:46.730,1284,275233,0,1,1301,0
10/9/2023,15:44:47.749,1231,257682,0,1,1207,0
10/9/2023,15:44:48.761,1188,252586,0,1,1174,0
10/9/2023,15:44:49.738,1269,263024,0,1,1299,0
10/9/2023,15:44:50.726,1182,249415,0,1,1196,0
10/9/2023,15:44:51.723,1112,234692,0,1,1115,0
10/9/2023,15:44:52.753,1328,282082,0,1,1289,0
10/9/2023,15:44:53.761,1231,262317,0,1,1221,0
10/9/2023,15:44:54.785,1195,245811,0,1,1167,0
10/9/2023,15:44:55.765,1247,254446,0,1,1272,0
10/9/2023,15:44:56.777,1156,240891,0,1,1143,0
10/9/2023,15:44:57.786,1212,251234,0,1,1200,0
10/9/2023,15:44:58.725,1301,273848,0,1,1387,0
10/9/2023,15:44:59.797,1172,245917,0,1,1092,0
10/9/2023,15:45:00.787,1215,256566,0,1,1229,0
10/9/2023,15:45:01.745,1210,244291,0,1,1262,0
10/9/2023,15:45:02.760,1175,242246,0,1,1158,0
10/9/2023,15:45:03.726,1247,256945,0,1,1291,0
10/9/2023,15:45:04.762,1199,247155,0,1,1157,0
10/9/2023,15:45:05.721,1214,255979,0,1,1267,0
10/9/2023,15:45:06.778,1201,256662,0,1,1135,0
10/9/2023,15:45:07.730,1231,251857,0,1,1293,0
10/9/2023,15:45:08.733,1232,263670,0,1,1228,0
10/9/2023,15:45:09.760,1224,257052,0,1,1192,0
10/9/2023,15:45:10.736,1255,259947,0,1,1286,0
10/9/2023,15:45:11.733,1139,231824,0,1,1142,0
10/9/2023,15:45:12.773,1312,273879,0,1,1262,0
10/9/2023,15:45:13.722,1219,263913,0,1,1285,0
10/9/2023,15:45:14.762,1228,254532,0,1,1181,0
10/9/2023,15:45:15.726,1096,234467,0,1,1138,0
10/9/2023,15:45:16.739,1184,254340,0,1,1168,0
10/9/2023,15:45:17.729,1315,268094,0,1,1330,0
10/9/2023,15:45:18.760,1174,250166,0,1,1139,0
10/9/2023,15:45:19.777,1228,260129,0,1,1206,0
10/9/2023,15:45:20.774,1227,262737,0,1,1231,0
10/9/2023,15:45:21.727,1283,264486,0,1,1346,0
10/9/2023,15:45:22.760,1150,244643,0,1,1113,0
10/9/2023,15:45:23.763,1176,257518,0,1,1172,0
10/9/2023,15:45:24.749,1229,257891,0,1,1248,0
10/9/2023,15:45:25.731,1255,260589,0,1,1277,0
10/9/2023,15:45:26.751,1072,220526,0,1,1052,0
10/9/2023,15:45:27.741,1306,267338,0,1,1319,0
10/9/2023,15:45:28.736,1197,252830,0,1,1202,0
10/9/2023,15:45:29.794,1311,271199,0,1,1239,0
10/9/2023,15:45:30.812,1183,247705,0,1,1162,0
10/9/2023,15:45:31.728,1211,250840,0,1,1322,0
10/9/2023,15:45:32.799,1264,263836,0,1,1181,0
10/9/2023,15:45:33.731,1192,262427,0,1,1278,0
10/9/2023,15:45:34.723,1184,247598,0,1,1194,0
10/9/2023,15:45:35.780,1276,264419,0,1,1207,0
10/9/2023,15:45:36.840,1224,259758,0,1,1156,0
10/9/2023,15:45:37.770,1129,246937,0,1,1214,0
10/9/2023,15:45:38.879,1272,264132,0,1,1146,0
10/9/2023,15:45:39.747,1202,255093,0,1,1385,0
10/9/2023,15:45:40.740,1105,227507,0,1,1113,0
10/9/2023,15:45:41.815,1278,266485,0,1,1189,0
10/9/2023,15:45:42.788,1204,248122,0,1,1237,0
10/9/2023,15:45:43.772,1270,263133,0,1,1291,0
10/9/2023,15:45:44.769,1156,236775,0,1,1159,0
10/9/2023,15:45:45.729,1234,255879,0,1,1287,0
10/9/2023,15:45:46.734,1249,257152,0,1,1242,0
10/9/2023,15:45:47.761,1234,256852,0,1,1202,0
10/9/2023,15:45:48.808,1195,253305,0,1,1141,0
10/9/2023,15:45:49.765,1127,236568,0,1,1178,0
10/9/2023,15:45:50.763,1200,253895,0,1,1202,0
10/9/2023,15:45:51.777,1253,265166,0,1,1236,0
10/9/2023,15:45:52.765,1195,256555,0,1,1210,0
10/9/2023,15:45:53.804,1259,275083,0,1,1212,0
10/9/2023,15:45:54.744,1143,234539,0,1,1216,0
10/9/2023,15:45:55.783,1294,271431,0,1,1245,0
10/9/2023,15:45:56.843,1237,266684,0,1,1168,0
10/9/2023,15:45:57.772,1196,248465,0,1,1287,0
10/9/2023,15:45:58.757,1083,225228,0,1,1098,0
10/9/2023,15:45:59.821,1228,256439,0,1,1154,0
10/9/2023,15:46:00.792,1324,275692,0,1,1364,0
10/9/2023,15:46:01.784,1143,235481,0,1,1153,0
10/9/2023,15:46:02.828,1274,267308,0,1,1219,0
10/9/2023,15:46:03.804,1231,252397,0,1,1261,0
10/9/2023,15:46:04.787,1140,246473,0,1,1161,0
10/9/2023,15:46:05.736,1268,266418,0,1,1335,0
10/9/2023,15:46:06.755,1232,256295,0,1,1209,0
10/9/2023,15:46:07.758,1186,255150,0,1,1182,0
10/9/2023,15:46:08.762,1200,255011,0,1,1196,0
10/9/2023,15:46:09.744,1172,249389,0,1,1193,0
10/9/2023,15:46:10.758,1227,254711,0,1,1209,0
10/9/2023,15:46:11.756,1224,254817,0,1,1228,0
10/9/2023,15:46:12.743,1260,263079,0,1,1275,0
10/9/2023,15:46:13.795,1101,233757,0,1,1048,0
10/9/2023,15:46:14.736,1311,285880,0,1,1392,0
10/9/2023,15:46:15.832,1204,254697,0,1,1100,0
10/9/2023,15:46:16.819,1300,269568,0,1,1316,0
