Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/8/2023,17:48:35.237,0,0,0,1,0,0
10/8/2023,17:48:36.238,5,511,0,1,5,0
10/8/2023,17:48:37.240,4,1488,0,1,4,0
10/8/2023,17:48:38.237,7,1636,0,1,7,0
10/8/2023,17:48:39.238,6,505,0,1,6,0
10/8/2023,17:48:40.248,2,137,0,1,2,0
10/8/2023,17:48:41.244,7,770,0,1,7,0
10/8/2023,17:48:42.244,1,50,0,1,1,0
10/8/2023,17:48:43.254,8,803,0,1,8,0
10/8/2023,17:48:44.261,9,884,0,1,9,0
10/8/2023,17:48:45.261,5,357,0,1,5,0
10/8/2023,17:48:46.261,4,534,0,1,4,0
10/8/2023,17:48:47.263,2,694,0,1,2,0
10/8/2023,17:48:48.263,7,728,0,1,7,0
10/8/2023,17:48:49.264,3,228,0,1,3,0
10/8/2023,17:48:50.264,5,282,0,1,5,0
10/8/2023,17:48:51.265,6,574,0,1,6,0
10/8/2023,17:48:52.274,7,783,0,1,7,0
10/8/2023,17:48:53.265,9,926,0,1,9,0
10/8/2023,17:48:54.265,8,1203,0,1,8,0
10/8/2023,17:48:55.265,6,528,0,1,6,0
10/8/2023,17:48:56.266,3,223,0,1,3,0
10/8/2023,17:48:57.265,9,1788,0,1,9,0
10/8/2023,17:48:58.265,8,965,0,1,8,0
10/8/2023,17:48:59.265,6,592,0,1,6,0
10/8/2023,17:49:00.265,5,415,0,1,5,0
10/8/2023,17:49:01.266,4,240,0,1,4,0
10/8/2023,17:49:02.266,5,881,0,1,5,0
10/8/2023,17:49:03.265,2,124,0,1,2,0
10/8/2023,17:49:04.275,5,412,0,1,5,0
10/8/2023,17:49:05.275,7,778,0,1,7,0
10/8/2023,17:49:06.276,7,447,0,1,7,0
10/8/2023,17:49:07.276,4,176,0,1,4,0
10/8/2023,17:49:08.275,4,251,0,1,4,0
10/8/2023,17:49:09.275,9,1355,0,1,9,0
10/8/2023,17:49:10.275,2,968,0,1,2,0
10/8/2023,17:49:11.276,5,352,0,1,5,0
10/8/2023,17:49:12.275,5,322,0,1,5,0
10/8/2023,17:49:13.275,8,1475,0,1,8,0
10/8/2023,17:49:14.288,3,411,0,1,3,0
10/8/2023,17:49:15.276,5,941,0,1,5,0
10/8/2023,17:49:16.288,4,407,0,1,4,0
10/8/2023,17:49:17.296,4,372,0,1,4,0
10/8/2023,17:49:18.296,6,398,0,1,6,0
10/8/2023,17:49:19.297,5,549,0,1,5,0
10/8/2023,17:49:20.295,6,414,0,1,6,0
10/8/2023,17:49:21.282,7,937,0,1,7,0
10/8/2023,17:49:22.505,11,965,0,1,9,0
10/8/2023,17:49:23.325,1,92,0,1,1,0
10/8/2023,17:49:24.414,6,666,0,1,6,0
10/8/2023,17:49:25.352,3,366,0,1,3,0
10/8/2023,17:49:26.369,4,309,0,1,4,0
10/8/2023,17:49:27.391,5,690,0,1,5,0
10/8/2023,17:49:28.422,5,333,0,1,5,0
10/8/2023,17:49:29.851,0,0,0,1,0,0
10/8/2023,17:49:30.288,0,0,0,0,0,0
10/8/2023,17:49:31.493,4,276,0,1,3,0
10/8/2023,17:49:32.386,1,67,0,1,1,0
10/8/2023,17:49:33.462,5,463,0,1,5,0
10/8/2023,17:49:35.457,6,1070,0,2,3,0
10/8/2023,17:49:35.532,0,0,0,0,0,0
10/8/2023,17:49:36.555,4,286,0,1,4,0
10/8/2023,17:49:37.712,3,238,0,1,3,0
10/8/2023,17:49:38.812,2,367,0,1,2,0
10/8/2023,17:49:39.523,4,336,0,1,6,0
10/8/2023,17:49:40.508,6,1362,0,1,6,0
10/8/2023,17:49:42.196,9,859,0,2,5,0
10/8/2023,17:49:42.806,1,54,0,1,2,0
10/8/2023,17:49:43.702,3,286,0,1,3,0
10/8/2023,17:49:44.535,5,729,0,1,6,0
10/8/2023,17:49:45.595,9,610,0,1,8,0
10/8/2023,17:49:47.460,7,680,0,2,4,0
10/8/2023,17:49:47.643,0,0,0,0,0,0
10/8/2023,17:49:48.809,2,112,0,1,2,0
10/8/2023,17:49:49.744,2,169,0,1,2,0
10/8/2023,17:49:50.947,3,223,0,1,2,0
10/8/2023,17:49:51.570,6,554,0,1,10,0
10/8/2023,17:49:52.995,5,315,0,1,4,0
10/8/2023,17:49:53.581,2,159,0,1,3,0
10/8/2023,17:49:54.582,5,1331,0,1,5,0
10/8/2023,17:49:56.092,4,838,0,2,3,0
10/8/2023,17:49:56.552,1,37,0,0,2,0
10/8/2023,17:49:57.603,0,0,0,1,0,0
10/8/2023,17:49:58.661,5,521,0,1,5,0
10/8/2023,17:49:59.625,2,250,0,1,2,0
10/8/2023,17:50:00.599,6,1133,0,1,6,0
10/8/2023,17:50:01.663,8,1359,0,1,8,0
