Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,16:04:48.075,0,0,0,2,0,0
10/9/2023,16:04:49.098,1055,138772,0,1,1031,0
10/9/2023,16:04:50.120,1065,134014,0,1,1043,0
10/9/2023,16:04:51.090,1033,130554,0,1,1064,0
10/9/2023,16:04:52.076,959,117194,0,1,973,0
10/9/2023,16:04:53.086,1151,140146,0,1,1140,0
10/9/2023,16:04:54.126,1042,131055,0,1,1002,0
10/9/2023,16:04:55.087,1014,126835,0,1,1056,0
10/9/2023,16:04:56.102,1064,134192,0,1,1048,0
10/9/2023,16:04:57.102,1026,127636,0,1,1026,0
10/9/2023,16:04:58.091,1041,126538,0,1,1053,0
10/9/2023,16:04:59.082,1016,123982,0,1,1024,0
10/9/2023,16:05:00.091,1086,135924,0,1,1076,0
10/9/2023,16:05:01.088,1083,132759,0,1,1086,0
10/9/2023,16:05:02.096,1062,131417,0,1,1054,0
10/9/2023,16:05:03.124,1012,121193,0,1,984,0
10/9/2023,16:05:04.089,983,121850,0,1,1019,0
10/9/2023,16:05:05.102,1096,137886,0,1,1082,0
10/9/2023,16:05:06.089,1005,121781,0,1,1019,0
10/9/2023,16:05:07.125,1051,130112,0,1,1014,0
10/9/2023,16:05:08.102,1082,134526,0,1,1107,0
10/9/2023,16:05:09.098,1061,133770,0,1,1065,0
10/9/2023,16:05:10.101,1028,126348,0,1,1025,0
10/9/2023,16:05:11.153,1123,137709,0,1,1069,0
10/9/2023,16:05:12.115,1066,128393,0,1,1108,0
10/9/2023,16:05:13.124,999,125352,0,1,989,0
10/9/2023,16:05:14.117,1044,129859,0,1,1051,0
10/9/2023,16:05:15.122,1007,123210,0,1,1003,0
10/9/2023,16:05:16.119,1074,134014,0,1,1076,0
10/9/2023,16:05:17.112,1017,128166,0,1,1024,0
10/9/2023,16:05:18.134,1069,131759,0,1,1046,0
10/9/2023,16:05:19.126,1037,128821,0,1,1045,0
10/9/2023,16:05:20.180,1025,126294,0,1,972,0
10/9/2023,16:05:21.118,1005,127511,0,1,1071,0
10/9/2023,16:05:22.164,1103,136667,0,1,1054,0
10/9/2023,16:05:23.118,1055,131994,0,1,1106,0
10/9/2023,16:05:24.134,1047,129268,0,1,1031,0
10/9/2023,16:05:25.132,1058,131371,0,1,1061,0
10/9/2023,16:05:26.113,1004,123502,0,1,1023,0
10/9/2023,16:05:27.146,1037,128555,0,1,1004,0
10/9/2023,16:05:28.164,1072,133036,0,1,1053,0
10/9/2023,16:05:29.127,1069,133869,0,1,1109,0
10/9/2023,16:05:30.119,1044,128467,0,1,1052,0
10/9/2023,16:05:31.137,1050,132434,0,1,1031,0
10/9/2023,16:05:32.121,994,123837,0,1,1011,0
10/9/2023,16:05:33.123,1020,127462,0,1,1017,0
10/9/2023,16:05:34.120,1095,135261,0,1,1098,0
10/9/2023,16:05:35.121,1009,126276,0,1,1009,0
10/9/2023,16:05:36.207,1062,128697,0,1,978,0
10/9/2023,16:05:37.137,1077,134057,0,1,1158,0
10/9/2023,16:05:38.139,1002,124194,0,1,1000,0
10/9/2023,16:05:39.131,1000,123707,0,1,1007,0
10/9/2023,16:05:40.123,1067,132750,0,1,1076,0
10/9/2023,16:05:41.152,1034,129557,0,1,1006,0
10/9/2023,16:05:42.157,1059,131914,0,1,1053,0
10/9/2023,16:05:43.145,1047,129409,0,1,1060,0
10/9/2023,16:05:44.208,1044,132766,0,1,982,0
