Channel#,Photon Energy (keV),Intenisty (ct)
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,464
32,0,512
33,0,451
34,0,511
35,0,512
36,0,504
37,0,520
38,0,524
39,0,543
40,0,553
41,0,547
42,0,597
43,0,600
44,0,648
45,0,602
46,0,650
47,0,656
48,0,667
49,0,705
50,0,703
51,0,660
52,0,723
53,0,729
54,0,777
55,0,809
56,0,833
57,0,786
58,0,799
59,0,767
60,0,813
61,0,790
62,0,765
63,0,764
64,0,778
65,0,774
66,0,784
67,0,766
68,0,718
69,0,720
70,0,707
71,0,715
72,0,680
73,0,637
74,0,701
75,0,690
76,0,670
77,0,658
78,0,621
79,0,643
80,0,642
81,0,580
82,0,599
83,0,634
84,0,601
85,0,572
86,0,511
87,0,579
88,0,552
89,0,538
90,0,546
91,0,536
92,0,505
93,0,506
94,0,557
95,0,527
96,0,571
97,0,508
98,0,553
99,0,548
100,0,521
101,0,470
102,0,478
103,0,532
104,0,519
105,0,535
106,0,461
107,0,512
108,0,499
109,0,479
110,0,481
111,0,489
112,0,491
113,0,483
114,0,441
115,0,497
116,0,428
117,0,500
118,0,472
119,0,438
120,0,447
121,0,495
122,0,441
123,0,450
124,0,459
125,0,439
126,0,425
127,0,538
128,0,503
129,0,424
130,0,424
131,0,423
132,0,424
133,0,492
134,0,431
135,0,400
136,0,426
137,0,425
138,0,464
139,0,425
140,0,362
141,0,427
142,0,422
143,0,422
144,0,436
145,0,420
146,0,424
147,0,449
148,0,404
149,0,396
150,0,421
151,0,412
152,0,384
153,0,375
154,0,427
155,0,443
156,0,412
157,0,417
158,0,427
159,0,406
160,0,421
161,0,387
162,0,404
163,0,403
164,0,391
165,0,426
166,0,387
167,0,413
168,0,374
169,0,443
170,0,395
171,0,436
172,0,407
173,0,399
174,0,388
175,0,381
176,0,408
177,0,392
178,0,374
179,0,401
180,0,390
181,0,431
182,0,369
183,0,396
184,0,399
185,0,400
186,0,397
187,0,439
188,0,376
189,0,404
190,0,361
191,0,381
192,0,426
193,0,430
194,0,385
195,0,401
196,0,349
197,0,407
198,0,349
199,0,394
200,0,382
201,0,378
202,0,389
203,0,350
204,0,360
205,0,393
206,0,389
207,0,391
208,0,413
209,0,392
210,0,382
211,0,387
212,0,370
213,0,395
214,0,382
215,0,388
216,0,404
217,0,408
218,0,354
219,0,422
220,0,368
221,0,395
222,0,374
223,0,388
224,0,395
225,0,409
226,0,347
227,0,391
228,0,364
229,0,415
230,0,326
231,0,422
232,0,399
233,0,369
234,0,385
235,0,390
236,0,310
237,0,384
238,0,363
239,0,385
240,0,374
241,0,393
242,0,332
243,0,400
244,0,370
245,0,404
246,0,337
247,0,372
248,0,383
249,0,405
250,0,374
251,0,393
252,0,350
253,0,396
254,0,369
255,0,413
256,0,449
257,0,390
258,0,384
259,0,416
260,0,391
261,0,373
262,0,388
263,0,401
264,0,358
265,0,376
266,0,378
267,0,443
268,0,366
269,0,391
270,0,376
271,0,385
272,0,371
273,0,426
274,0,361
275,0,402
276,0,314
277,0,399
278,0,375
279,0,379
280,0,377
281,0,394
282,0,375
283,0,429
284,0,381
285,0,370
286,0,411
287,0,404
288,0,445
289,0,411
290,0,370
291,0,450
292,0,372
293,0,375
294,0,395
295,0,385
296,0,358
297,0,476
298,0,367
299,0,431
300,0,387
301,0,445
302,0,379
303,0,377
304,0,385
305,0,425
306,0,364
307,0,469
308,0,311
309,0,417
310,0,376
311,0,424
312,0,385
313,0,434
314,0,364
315,0,417
316,0,383
317,0,436
318,0,406
319,0,371
320,0,428
321,0,429
322,0,403
323,0,425
324,0,398
325,0,444
326,0,375
327,0,435
328,0,390
329,0,458
330,0,365
331,0,399
332,0,340
333,0,453
334,0,403
335,0,407
336,0,416
337,0,440
338,0,379
339,0,453
340,0,367
341,0,412
342,0,407
343,0,430
344,0,411
345,0,428
346,0,381
347,0,412
348,0,438
349,0,433
350,0,425
351,0,393
352,0,430
353,0,490
354,0,432
355,0,525
356,0,368
357,0,465
358,0,439
359,0,481
360,0,432
361,0,485
362,0,405
363,0,497
364,0,400
365,0,474
366,0,400
367,0,459
368,0,454
369,0,501
370,0,444
371,0,515
372,0,425
373,0,507
374,0,460
375,0,528
376,0,485
377,0,539
378,0,450
379,0,562
380,0,512
381,0,565
382,0,552
383,0,604
384,0,624
385,0,579
386,0,535
387,0,613
388,0,485
389,0,604
390,0,514
391,0,615
392,0,572
393,0,597
394,0,579
395,0,653
396,0,526
397,0,660
398,0,585
399,0,592
400,0,655
401,0,636
402,0,631
403,0,694
404,0,562
405,0,697
406,0,603
407,0,706
408,0,638
409,0,686
410,0,596
411,0,722
412,0,582
413,0,683
414,0,617
415,0,608
416,0,685
417,0,696
418,0,609
419,0,692
420,0,541
421,0,649
422,0,587
423,0,704
424,0,557
425,0,579
426,0,607
427,0,643
428,0,475
429,0,584
430,0,554
431,0,550
432,0,540
433,0,603
434,0,509
435,0,648
436,0,488
437,0,548
438,0,445
439,0,547
440,0,447
441,0,537
442,0,475
443,0,564
444,0,429
445,0,509
446,0,468
447,0,493
448,0,494
449,0,511
450,0,455
451,0,596
452,0,423
453,0,507
454,0,476
455,0,516
456,0,472
457,0,477
458,0,450
459,0,562
460,0,446
461,0,487
462,0,445
463,0,488
464,0,508
465,0,546
466,0,469
467,0,607
468,0,448
469,0,525
470,0,484
471,0,554
472,0,532
473,0,526
474,0,513
475,0,645
476,0,510
477,0,673
478,0,598
479,0,595
480,0,716
481,0,749
482,0,614
483,0,793
484,0,691
485,0,844
486,0,775
487,0,872
488,0,857
489,0,937
490,0,877
491,0,1042
492,0,840
493,0,993
494,0,950
495,0,943
496,0,943
497,0,1019
498,0,898
499,0,1029
500,0,769
501,0,908
502,0,826
503,0,866
504,0,736
505,0,821
506,0,597
507,0,751
508,0,625
509,0,616
510,0,492
511,0,653
512,0,533
513,0,481
514,0,388
515,0,518
516,0,365
517,0,417
518,0,418
519,0,444
520,0,394
521,0,488
522,0,419
523,0,532
524,0,451
525,0,583
526,0,484
527,0,549
528,0,611
529,0,660
530,0,569
531,0,789
532,0,601
533,0,771
534,0,677
535,0,811
536,0,700
537,0,842
538,0,694
539,0,829
540,0,608
541,0,794
542,0,629
543,0,663
544,0,666
545,0,700
546,0,516
547,0,644
548,0,398
549,0,531
550,0,397
551,0,426
552,0,347
553,0,395
554,0,282
555,0,329
556,0,222
557,0,251
558,0,183
559,0,207
560,0,176
561,0,177
562,0,125
563,0,153
564,0,114
565,0,116
566,0,77
567,0,91
