Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,16:10:37.765,0,0,0,2,0,0
10/9/2023,16:10:38.766,922,292971,0,1,920,0
10/9/2023,16:10:39.788,888,274666,0,1,870,0
10/9/2023,16:10:40.768,910,294662,0,1,929,0
10/9/2023,16:10:41.769,930,288548,0,1,928,0
10/9/2023,16:10:42.769,863,271600,0,1,864,0
10/9/2023,16:10:43.768,1011,315879,0,1,1011,0
10/9/2023,16:10:44.811,931,294350,0,1,893,0
10/9/2023,16:10:45.847,900,285556,0,1,869,0
10/9/2023,16:10:46.811,941,293557,0,1,975,0
10/9/2023,16:10:47.811,936,295167,0,1,936,0
10/9/2023,16:10:48.811,976,307390,0,1,976,0
10/9/2023,16:10:49.811,891,281303,0,1,891,0
10/9/2023,16:10:50.812,922,289328,0,1,922,0
10/9/2023,16:10:51.811,910,288848,0,1,910,0
10/9/2023,16:10:52.811,922,282573,0,1,922,0
10/9/2023,16:10:53.811,922,289911,0,1,922,0
10/9/2023,16:10:54.811,907,291272,0,1,907,0
10/9/2023,16:10:55.811,901,279330,0,1,901,0
10/9/2023,16:10:56.812,888,280787,0,1,888,0
10/9/2023,16:10:57.811,943,299462,0,1,943,0
10/9/2023,16:10:58.811,888,278151,0,1,888,0
10/9/2023,16:10:59.811,926,291961,0,1,926,0
10/9/2023,16:11:00.811,933,297931,0,1,933,0
10/9/2023,16:11:01.812,912,276595,0,1,912,0
10/9/2023,16:11:02.811,928,292672,0,1,928,0
10/9/2023,16:11:03.817,916,287175,0,1,911,0
10/9/2023,16:11:04.845,900,283682,0,1,875,0
10/9/2023,16:11:05.822,855,266747,0,1,875,0
10/9/2023,16:11:06.826,948,297691,0,1,945,0
10/9/2023,16:11:07.838,941,298016,0,1,930,0
10/9/2023,16:11:08.865,907,281886,0,1,882,0
10/9/2023,16:11:09.871,910,286330,0,1,905,0
10/9/2023,16:11:10.848,870,272392,0,1,890,0
10/9/2023,16:11:11.875,927,283839,0,1,902,0
10/9/2023,16:11:12.831,893,274524,0,1,934,0
10/9/2023,16:11:13.877,902,279796,0,1,862,0
10/9/2023,16:11:14.832,968,306696,0,1,1014,0
10/9/2023,16:11:15.874,933,295454,0,1,895,0
10/9/2023,16:11:16.833,883,282680,0,1,922,0
