Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,16:43:10.608,0,0,0,1,0,0
10/9/2023,16:43:11.607,744,137172,0,1,745,0
10/9/2023,16:43:12.606,698,129942,0,1,699,0
10/9/2023,16:43:13.608,717,135117,0,1,716,0
10/9/2023,16:43:14.607,727,127872,0,1,728,0
10/9/2023,16:43:15.607,691,123020,0,1,690,0
10/9/2023,16:43:16.607,768,141873,0,1,768,0
10/9/2023,16:43:17.607,737,136566,0,1,737,0
10/9/2023,16:43:18.607,697,127727,0,1,697,0
10/9/2023,16:43:19.608,756,141768,0,1,756,0
10/9/2023,16:43:20.608,704,129174,0,1,703,0
10/9/2023,16:43:21.612,756,136580,0,1,753,0
10/9/2023,16:43:22.620,696,129766,0,1,690,0
10/9/2023,16:43:23.626,713,132760,0,1,709,0
10/9/2023,16:43:24.624,735,134026,0,1,736,0
10/9/2023,16:43:25.624,711,132727,0,1,711,0
10/9/2023,16:43:26.628,710,133509,0,1,707,0
10/9/2023,16:43:27.632,729,133893,0,1,726,0
10/9/2023,16:43:28.639,735,141716,0,1,730,0
10/9/2023,16:43:29.637,723,134455,0,1,724,0
10/9/2023,16:43:30.632,729,136294,0,1,733,0
10/9/2023,16:43:31.632,715,129390,0,1,715,0
10/9/2023,16:43:32.648,741,136372,0,1,729,0
10/9/2023,16:43:33.649,743,132181,0,1,742,0
10/9/2023,16:43:34.667,720,130262,0,1,707,0
10/9/2023,16:43:35.650,778,143100,0,1,791,0
10/9/2023,16:43:36.656,751,137397,0,1,747,0
10/9/2023,16:43:37.669,703,141802,0,1,694,0
10/9/2023,16:43:38.667,735,138279,0,1,736,0
10/9/2023,16:43:39.654,743,138239,0,1,754,0
10/9/2023,16:43:40.665,736,133561,0,1,727,0
10/9/2023,16:43:41.654,705,129043,0,1,713,0
10/9/2023,16:43:42.679,727,129395,0,1,709,0
10/9/2023,16:43:43.674,766,137973,0,1,770,0
10/9/2023,16:43:44.654,703,134090,0,1,717,0
10/9/2023,16:43:45.653,735,137252,0,1,736,0
10/9/2023,16:43:46.652,706,132551,0,1,706,0
10/9/2023,16:43:47.653,719,134723,0,1,719,0
10/9/2023,16:43:48.652,659,124296,0,1,659,0
10/9/2023,16:43:49.652,767,143999,0,1,767,0
10/9/2023,16:43:50.653,732,133626,0,1,732,0
10/9/2023,16:43:51.652,736,135174,0,1,736,0
10/9/2023,16:43:52.652,725,129886,0,1,725,0
10/9/2023,16:43:53.652,705,132358,0,1,705,0
10/9/2023,16:43:54.652,729,131633,0,1,729,0
10/9/2023,16:43:55.652,736,133112,0,1,736,0
10/9/2023,16:43:56.652,750,140993,0,1,750,0
