Day,Time,Channel#,Photon Energy (keV)
10/9/2023,17:20:52.257,39,0
10/9/2023,17:20:52.257,52,0
10/9/2023,17:20:52.257,86,0
10/9/2023,17:20:52.257,39,0
10/9/2023,17:20:53.256,750,0
10/9/2023,17:20:53.256,36,0
10/9/2023,17:20:53.256,61,0
10/9/2023,17:20:53.256,741,0
10/9/2023,17:20:53.256,60,0
10/9/2023,17:20:53.256,149,0
10/9/2023,17:20:53.256,35,0
10/9/2023,17:20:53.256,33,0
10/9/2023,17:20:54.258,921,0
10/9/2023,17:20:54.258,424,0
10/9/2023,17:20:54.258,101,0
10/9/2023,17:20:54.258,49,0
10/9/2023,17:20:54.258,71,0
10/9/2023,17:20:55.257,234,0
10/9/2023,17:20:55.257,70,0
10/9/2023,17:20:55.257,112,0
10/9/2023,17:20:55.257,400,0
10/9/2023,17:20:55.257,148,0
10/9/2023,17:20:55.257,68,0
10/9/2023,17:20:55.257,31,0
10/9/2023,17:20:55.257,195,0
10/9/2023,17:20:55.257,108,0
10/9/2023,17:20:55.257,35,0
10/9/2023,17:20:56.258,83,0
10/9/2023,17:20:56.258,45,0
10/9/2023,17:20:56.258,42,0
10/9/2023,17:20:56.258,127,0
10/9/2023,17:20:56.258,48,0
10/9/2023,17:20:57.257,110,0
10/9/2023,17:20:57.257,73,0
10/9/2023,17:20:57.257,105,0
10/9/2023,17:20:57.257,45,0
10/9/2023,17:20:57.257,53,0
10/9/2023,17:20:57.257,41,0
10/9/2023,17:20:58.257,105,0
10/9/2023,17:20:58.257,184,0
10/9/2023,17:20:58.257,51,0
10/9/2023,17:20:58.257,87,0
10/9/2023,17:20:58.257,46,0
10/9/2023,17:20:58.257,950,0
10/9/2023,17:20:58.257,163,0
10/9/2023,17:20:58.257,95,0
10/9/2023,17:20:58.257,40,0
10/9/2023,17:20:58.257,31,0
10/9/2023,17:20:59.257,33,0
10/9/2023,17:20:59.257,149,0
10/9/2023,17:20:59.257,116,0
10/9/2023,17:21:00.258,42,0
10/9/2023,17:21:00.258,41,0
10/9/2023,17:21:00.258,70,0
10/9/2023,17:21:00.258,92,0
10/9/2023,17:21:00.258,580,0
10/9/2023,17:21:00.258,65,0
10/9/2023,17:21:01.258,72,0
10/9/2023,17:21:01.258,42,0
10/9/2023,17:21:01.258,183,0
10/9/2023,17:21:01.258,76,0
10/9/2023,17:21:01.258,156,0
10/9/2023,17:21:03.258,109,0
10/9/2023,17:21:03.258,99,0
10/9/2023,17:21:03.258,43,0
10/9/2023,17:21:04.257,87,0
10/9/2023,17:21:04.257,71,0
10/9/2023,17:21:04.257,227,0
10/9/2023,17:21:04.257,109,0
10/9/2023,17:21:04.257,36,0
10/9/2023,17:21:04.257,78,0
10/9/2023,17:21:04.257,603,0
10/9/2023,17:21:04.257,76,0
10/9/2023,17:21:05.257,141,0
10/9/2023,17:21:05.257,354,0
10/9/2023,17:21:05.257,162,0
10/9/2023,17:21:05.257,50,0
10/9/2023,17:21:05.257,240,0
10/9/2023,17:21:05.257,1178,0
10/9/2023,17:21:05.257,33,0
10/9/2023,17:21:06.257,49,0
10/9/2023,17:21:06.257,82,0
10/9/2023,17:21:06.257,52,0
10/9/2023,17:21:07.257,154,0
10/9/2023,17:21:08.257,1189,0
10/9/2023,17:21:08.257,31,0
10/9/2023,17:21:08.257,58,0
10/9/2023,17:21:08.257,346,0
10/9/2023,17:21:08.257,37,0
10/9/2023,17:21:09.258,248,0
10/9/2023,17:21:09.258,50,0
10/9/2023,17:21:09.258,170,0
10/9/2023,17:21:11.257,33,0
10/9/2023,17:21:11.257,32,0
10/9/2023,17:21:11.257,81,0
10/9/2023,17:21:11.257,41,0
10/9/2023,17:21:11.257,48,0
10/9/2023,17:21:11.257,36,0
10/9/2023,17:21:12.308,283,0
10/9/2023,17:21:12.308,62,0
10/9/2023,17:21:12.308,82,0
10/9/2023,17:21:12.308,104,0
10/9/2023,17:21:12.308,33,0
10/9/2023,17:21:13.268,67,0
10/9/2023,17:21:13.268,318,0
10/9/2023,17:21:13.268,328,0
10/9/2023,17:21:13.268,39,0
10/9/2023,17:21:14.538,53,0
10/9/2023,17:21:14.538,255,0
10/9/2023,17:21:14.538,40,0
10/9/2023,17:21:15.719,115,0
10/9/2023,17:21:15.719,81,0
10/9/2023,17:21:15.719,107,0
10/9/2023,17:21:17.329,262,0
10/9/2023,17:21:17.329,67,0
10/9/2023,17:21:17.329,36,0
10/9/2023,17:21:17.329,50,0
10/9/2023,17:21:17.329,73,0
10/9/2023,17:21:18.329,128,0
10/9/2023,17:21:18.329,35,0
10/9/2023,17:21:18.329,33,0
10/9/2023,17:21:18.329,77,0
10/9/2023,17:21:19.547,37,0
10/9/2023,17:21:19.547,140,0
10/9/2023,17:21:19.547,65,0
10/9/2023,17:21:20.400,38,0
10/9/2023,17:21:20.400,67,0
10/9/2023,17:21:20.400,68,0
10/9/2023,17:21:21.297,59,0
10/9/2023,17:21:21.297,54,0
10/9/2023,17:21:21.297,100,0
10/9/2023,17:21:22.500,388,0
10/9/2023,17:21:23.905,36,0
10/9/2023,17:21:23.905,34,0
10/9/2023,17:21:23.905,67,0
10/9/2023,17:21:23.905,97,0
10/9/2023,17:21:23.905,137,0
10/9/2023,17:21:23.905,34,0
10/9/2023,17:21:23.905,39,0
10/9/2023,17:21:23.905,81,0
10/9/2023,17:21:23.905,84,0
10/9/2023,17:21:25.404,114,0
10/9/2023,17:21:25.404,443,0
10/9/2023,17:21:25.404,319,0
10/9/2023,17:21:25.404,62,0
10/9/2023,17:21:25.404,132,0
10/9/2023,17:21:26.524,89,0
10/9/2023,17:21:26.524,40,0
10/9/2023,17:21:26.524,128,0
10/9/2023,17:21:26.524,59,0
10/9/2023,17:21:27.287,124,0
10/9/2023,17:21:27.287,35,0
10/9/2023,17:21:27.287,153,0
10/9/2023,17:21:27.287,60,0
10/9/2023,17:21:28.463,255,0
10/9/2023,17:21:28.463,267,0
10/9/2023,17:21:28.463,108,0
10/9/2023,17:21:28.463,109,0
10/9/2023,17:21:28.463,32,0
10/9/2023,17:21:29.391,113,0
10/9/2023,17:21:30.382,34,0
10/9/2023,17:21:31.649,38,0
10/9/2023,17:21:31.649,40,0
10/9/2023,17:21:31.649,61,0
10/9/2023,17:21:31.649,488,0
10/9/2023,17:21:31.649,64,0
10/9/2023,17:21:31.649,123,0
10/9/2023,17:21:31.649,191,0
10/9/2023,17:21:31.649,32,0
10/9/2023,17:21:32.336,36,0
10/9/2023,17:21:32.336,522,0
10/9/2023,17:21:32.336,78,0
10/9/2023,17:21:32.336,39,0
10/9/2023,17:21:32.336,51,0
10/9/2023,17:21:34.354,669,0
10/9/2023,17:21:34.354,371,0
10/9/2023,17:21:34.354,65,0
10/9/2023,17:21:35.578,37,0
10/9/2023,17:21:35.578,89,0
10/9/2023,17:21:35.578,180,0
10/9/2023,17:21:35.578,49,0
10/9/2023,17:21:35.578,648,0
10/9/2023,17:21:36.311,175,0
10/9/2023,17:21:36.311,375,0
10/9/2023,17:21:36.311,53,0
10/9/2023,17:21:36.311,105,0
